item_name,store_name,category,OOS_days,Avg_NS_Percentage,Avg_Margin_Percentage,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin
AULS501837-Eclipse Mints Spearmint 17g,AULS.BNK101,confectionary,7,0.05038451133612749,0.05215992997847448,0.5,1.625,1.025,3.5,11.375,7.174999999999999
AULS503878-Nutri Grain To-Go Bar Orig Nut,AULS.BNK101,confectionary,7,0.022401728886370535,0.01882846252881519,0.0,0.0,0.0,0.0,0.0,0.0
AULS100229-Golden Rough 20g,AULS.BNK101,confectionary,7,0.05007445280482823,0.05623094890362373,0.2727272727272727,0.4563636363636363,0.3172727272727273,1.909090909090909,3.1945454545454544,2.220909090909091
AULS488166-Bounty King Size 85.5g,AULS.BNK101,confectionary,7,0.05596556489951392,0.055467632855158246,0.5,1.805,1.09,3.5,12.635,7.630000000000001
AULS501836-Eclipse Mint Peppermint 17g,AULS.CNS102,confectionary,7,0.014356157267506452,0.014612265321672983,0.0,0.0,0.0,0.0,0.0,0.0
AULS193412-Calippo Rasp Pineapple 100ml,AULS.CNS201,confectionary,7,0.01026342724728628,-0.0028547509836401373,1.0,1.4299999999999997,0.039999999999999925,7.0,10.009999999999998,0.27999999999999947
AULS471804-M&M Hazelnut Choc Block 155g,AULS.CNS201,confectionary,7,0.027448199339906384,0.020661260244095484,0.0,0.0,0.0,0.0,0.0,0.0
AULS475458-Haribo Goldbears 150g,AULS.CNS201,confectionary,7,0.11382485806391658,0.10441251722663797,1.4285714285714286,5.801428571428572,3.2157142857142857,10.0,40.61,22.51
AULS482252-Golden Sanga 120ml,AULS.CNS201,confectionary,7,0.06658290617567232,-0.12660820612444013,12.5,13.84999999999999,-15.775000000000015,87.5,96.94999999999993,-110.4250000000001
AULS500134-Nobby's Loaded Buffalo Wings,AULS.CNS201,confectionary,7,0.0819564852246537,0.0816815625194034,0.3157894736842105,1.7147368421052631,1.0326315789473683,2.2105263157894735,12.003157894736841,7.228421052631578
AULS193410-Calippo Lemon 100ml,AULS.CNS201,confectionary,7,0.006145119255202919,-0.004567601573824221,0.6666666666666666,0.6333333333333331,-0.29333333333333345,4.666666666666666,4.433333333333332,-2.053333333333334
AULS418018-Whitt M/Slab Dark P/Mint 180g,AULS.CNS201,confectionary,7,0.029690628822506743,0.02166042308836953,0.0625,0.453125,0.2125,0.4375,3.171875,1.4875
AULS399314-JCs Outback Mix 150g,AULS.MEL101,confectionary,7,4.504888642087936,4.2481028341334985,0.45454545454545453,3.43,2.0663636363636364,3.1818181818181817,24.01,14.464545454545455
AULS471842-Yowie 28g,AULS.MEL102,confectionary,7,0.07090375701282471,0.05367323269213265,0.0,0.0,0.0,0.0,0.0,0.0
AULS471804-M&M Hazelnut Choc Block 155g,AULS.MEL102,confectionary,7,0.02254739473007826,0.016860395921767763,0.0,0.0,0.0,0.0,0.0,0.0
AULS100220-FMan Friend Strong Mint 25g,AULS.MEL102,confectionary,7,0.07678876884488917,0.0777095064629573,0.3333333333333333,1.2033333333333334,0.7400000000000001,2.333333333333333,8.423333333333334,5.180000000000001
AULS100285-Violet Crumble Bar 50g,AULS.MEL102,confectionary,7,0.10050607556567905,0.10542122986378667,0.35,1.1025,0.7034999999999999,2.4499999999999997,7.7175,4.924499999999999
AULS399793-PIR Pot Grill Sea Salt 75g,AULS.MEL102,confectionary,7,0.11216974359428869,0.1035543348136255,0.5,1.9599999999999997,1.0924999999999996,3.5,13.719999999999999,7.647499999999997
AULS427393-Haribo Mega Roulette 45g,AULS.MEL102,confectionary,7,0.13549707965150803,0.168428937806725,1.2727272727272727,2.861818181818182,2.161818181818182,8.909090909090908,20.03272727272727,15.132727272727275
AULS488165-Bounty Bar 57g,AULS.MEL102,confectionary,7,0.022334683459039786,0.022869464364473915,0.16666666666666666,0.525,0.32666666666666666,1.1666666666666665,3.6750000000000003,2.2866666666666666
AULS492363-TIC TAC Gum Freshmint 23.3g,AULS.MEL102,confectionary,7,0.07037197883522854,0.061199153363094734,0.21052631578947367,0.6647368421052631,0.3363157894736842,1.4736842105263157,4.653157894736841,2.3542105263157893
AULS500177-Extra Soft Chew Gum P/Mint 22g,AULS.MEL102,confectionary,7,0.03839438442244458,0.042180160039578175,2.0,7.22,4.82,14.0,50.54,33.74
AULS503877-Bear Naked Choc Chip Bar,AULS.MEL102,confectionary,7,0.03991881519822032,0.00939281572112322,0.4,0.9010000000000001,0.12900000000000006,2.8000000000000003,6.307000000000001,0.9030000000000005
AULS504591-HL PROBIOTIC Mixed Berry Balls,AULS.MEL102,confectionary,7,0.035487330384918775,0.03127049209019904,0.2222222222222222,0.7066666666666668,0.36222222222222233,1.5555555555555554,4.946666666666667,2.5355555555555562
AULS418013-Whitt Almond Slab 45g,AULS.MEL102,confectionary,7,0.009572007196731337,0.010734646538426535,0.0,0.0,0.0,0.0,0.0,0.0
AULS488167-M&M Fruit&Nut Choc Block 155g,AULS.MEL102,confectionary,7,0.01127369736503913,-0.0016918736392085296,0.0,0.0,0.0,0.0,0.0,0.0
AULS405153-Shapes BBQ 70g,AULS.MEL102,confectionary,7,0.044704818796585985,0.04393037414910423,0.10526315789473684,0.33157894736842103,0.19894736842105262,0.7368421052631579,2.3210526315789473,1.3926315789473684
AULS505071-NB Nut Butter Bar Peanut & Car,AULS.MEL102,confectionary,7,0.048285458525733634,0.04655569531339333,0.4,1.816,1.064,2.8000000000000003,12.712,7.448
