item_name,store_name,category,OOS_days,date_list,OOS_lastDay,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin
AULS474956-Keri Apple Juice 300ml..,AULS.SYD215,beverage,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,1.5714285714285714,6.867142857142857,4.384285714285714,11.0,48.07,30.69
AULS481884-Coke No Sugar Slimline cans,AULS.SYD215,beverage,1,['2019-11-25'],0,2.857142857142857,9.02142857142857,4.988571428571428,2.857142857142857,9.02142857142857,4.988571428571428
AULS495353-Mt Franklin Still Pineappl Mnt,AULS.SYD215,beverage,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,1.0,4.73,3.4800000000000004,7.0,33.11,24.360000000000003
AULS495881-MTF Kids Lemon Lime 250ml,AULS.SYD215,beverage,1,['2019-11-24'],0,0.5416666666666666,1.7179166666666668,1.0895833333333336,0.5416666666666666,1.7179166666666668,1.0895833333333336
AULS498420-Coke Peach No Sugar 600ml,AULS.SYD215,beverage,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.42857142857142855,2.1342857142857143,1.302857142857143,3.0,14.940000000000001,9.120000000000001
AULS505742-V Pure 330ml,AULS.SYD215,beverage,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,1.1,4.682,1.811,7.700000000000001,32.774,12.677
AULS507152-Nutriboost Chocolate 340ml,AULS.SYD301,beverage,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,1.5,5.4585,2.3684999999999996,10.5,38.2095,16.579499999999996
AULS258921-Glaceau Focus 500ml,AULS.SYD301,beverage,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.3,1.3800000000000001,0.663,2.1,9.66,4.641
AULS509229-Perkii Probiotic Mango 350ml,AULS.SYD301,beverage,3,"['2019-11-28', '2019-11-29', '2019-11-30']",1,1.1666666666666667,5.833333333333333,3.4066666666666663,3.5,17.5,10.219999999999999
AULS509230-Perkii Probiotic Strwbry 350ml,AULS.SYD301,beverage,5,"['2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,1.75,8.75,5.109999999999999,8.75,43.75,25.549999999999997
AULS188932-Deep Spring Orange Pass 500ml,AULS.SYD302,beverage,1,['2019-11-30'],1,2.5925925925925926,11.539629629629632,7.051111111111111,2.5925925925925926,11.539629629629632,7.051111111111111
