SKU,Store,category,OOS_days,date_list,OOS_lastDay,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin,Category
AULS434113-BABYBOYRMPR KOALAKANGAWHITE1,AULS.OOL101,,2,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25)]",0,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS504777-Last Word,AULS.OOL101,,5,"[datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS503037-It Starts with Passion (Be You,AULS.OOL101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS501306-Whos Minding the Farm?,AULS.TSV101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0476190485060215,1.558571457862854,0.8009523749351501,0.3333333395421505,10.910000205039978,5.606666624546051,03-Books
AULS504696-Pact (new cover),AULS.TSV101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS494816-How to Make Gravy,AULS.OOL101,,3,"[datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS497354-Revenge: Widows 2,AULS.OOL101,,1,"[datetime.date(2019, 11, 26)]",0,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS4555842-QLD Reds Original,AULS.TSV101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS441872-ILOVE CAP RND BADGE  KA,AULS.OOL104,,5,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28)]",0,0.5,6.25,4.0,2.5,31.25,20.0,03-Books
AULS448867-LM9 Inquisitive Ibis Little Ma,AULS.OOL104,,1,"[datetime.date(2019, 11, 24)]",0,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
