SKU,Store,category,OOS_days_x,date_list,OOS_lastDay_x,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin,Category_x,Category_y,State,City,BU,Concept,Brand,OOS_days_y,Date_list,OOS_lastDay_y,Avg Loss Sale qty,Avg Loss Net Sales,Avg Loss Margin,Total Loss Sale qty,Total Loss Net Sales,Total Loss Margin
AULS48138237/38-AUSSIANA BLACK/DIAMANTE/SLIM,AULS.OOL103,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,09-Apparel,QLD,Gold Coast,BNC,Hub,None,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS487361-How to Build a Universe: Infin,AULS.OOL101,,1,['2019-11-28'],0,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,HARP-Harper Collins,1.0,['2019-11-28'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS495397NVYWHS-NRL19 COWBOYS M HOME JERSEY,AULS.TSV101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,09-Apparel,QLD,Townsville,BNC,Newslink,None,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS448864-LM6 Friendliest Fairy Penguin,AULS.OOL104,,1,['2019-11-24'],0,0.04545454680919647,0.20636363327503204,0.12909090518951416,0.04545454680919647,0.20636363327503204,0.12909090518951416,03-Books,03-Books,QLD,Gold Coast,Specialty,Discover,SCHO-Scholastic Australia Pty Ltd,1.0,['2019-11-24'],0.0,0.045454545,0.20636363600000002,0.129045455,0.045454545,0.20636363600000002,0.129045455
AULS502642-Lion King: Ultimate Colouring,AULS.OOL101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,SCHO-Scholastic Australia Pty Ltd,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS469718740M-GC2018-MENS EMBLEM TEE,AULS.TSV101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,,,,,,,,,,,,,,,
AULS495397NVYWHXL-NRL19 COWBOYS M HOME JERSEY,AULS.TSV101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,09-Apparel,QLD,Townsville,BNC,Newslink,None,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS49993900-QLD SOO19 Original,AULS.TSV101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,09-Apparel,QLD,Townsville,BNC,Newslink,None,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS503650-New Manhood (Updated Edition),AULS.OOL101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.07692307978868484,2.0969231128692627,1.0484615564346313,0.5384615585207939,14.678461790084839,7.339230895042419,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,SIMS-SIMS,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.076923077,2.096923077,1.048446154,0.538461538,14.67846154,7.339123077000001
AULS471561-Worlds Worst Children 2,AULS.OOL104,,3,"['2019-11-24', '2019-11-25', '2019-11-26']",0,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,03-Books,QLD,Gold Coast,Specialty,Discover,HARP-Harper Collins,3.0,"['2019-11-24', '2019-11-25', '2019-11-26']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS476151S-Adults Tee Yellow GC Surf Club,AULS.OOL101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,09-Apparel,QLD,Gold Coast,BNC,Newslink,None,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS505644-Scatterbrain,AULS.OOL101,,6,"['2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.30434781312942505,8.573912620544434,4.422608852386475,1.8260868787765503,51.4434757232666,26.535653114318848,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,UNIR-Unireps,6.0,"['2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.304347826,8.573913043,4.422608696,1.8260869569999998,51.44347826,26.53565217
